configuration_id,arm,pool,objective_value,optimality_bound,optimality_ratio,computable
A3_l0.6_r0.0_k08,A3,cosine_top_100,8.487640517950059,8.735939884885065,0.971577257832942,True
A3_l0.6_r0.0_k16,A3,cosine_top_100,9.902343904972076,9.907750912158043,0.9994542649251171,True
A3_l0.6_r0.5_k02,A3,cosine_top_100,6.134656798839569,6.175032547110283,0.9934614517473906,True
A3_l0.6_r0.5_k04,A3,cosine_top_100,7.407543951272965,7.455849023377016,0.9935211842470797,True
A3_l0.6_r0.5_k08,A3,cosine_top_100,9.428399319946767,9.462174128445701,0.9964305446041836,True
A3_l0.6_r0.5_k16,A3,cosine_top_100,11.87080384492874,12.04250346569954,0.9857421987662409,True
A3_l0.6_r1.0_k02,A3,cosine_top_100,6.244364720582962,6.255222571404143,0.9982641943276618,True
A3_l0.6_r1.0_k04,A3,cosine_top_100,7.429090762138367,7.473352909088135,0.9940773375099226,True
A3_l0.6_r1.0_k08,A3,cosine_top_100,9.333638127148152,9.446129000463404,0.98809132573674,True
A3_l0.6_r1.0_k16,A3,cosine_top_100,11.85910156816244,11.930492526491308,0.9940160929508697,True
A3_l0.7_r0.0_k02,A3,cosine_top_100,5.622035616636277,5.653812023714268,0.9943796491739185,True
A3_l0.7_r0.0_k04,A3,cosine_top_100,7.230415630340576,7.367434140532422,0.9814021397981653,True
A3_l0.7_r0.0_k08,A3,cosine_top_100,9.287640517950058,9.535939884885064,0.9739617311001957,True
A3_l0.7_r0.0_k16,A3,cosine_top_100,11.002343904972076,11.007750912158043,0.9995088000056401,True
A3_l0.7_r0.5_k02,A3,cosine_top_100,6.3346567988395694,6.375032547110283,0.9936665816256867,True
A3_l0.7_r0.5_k04,A3,cosine_top_100,7.807543951272964,7.855849023377015,0.9938510691893,True
A3_l0.7_r0.5_k08,A3,cosine_top_100,10.228399319946766,10.2621741284457,0.9967088057485485,True
A3_l0.7_r0.5_k16,A3,cosine_top_100,13.07080384492874,13.267520984970737,0.9851730296665944,True
A3_l0.7_r1.0_k02,A3,cosine_top_100,6.444364720582962,6.455222571404144,0.998317974213735,True
A3_l0.7_r1.0_k04,A3,cosine_top_100,7.8290907621383665,7.873352909088134,0.9943782340940571,True
A3_l0.7_r1.0_k08,A3,cosine_top_100,10.133638127148151,10.246129000463403,0.9890211343903473,True
A3_l0.7_r1.0_k16,A3,cosine_top_100,12.800937922298907,13.142721259632971,0.973994477202843,True
A3_l0.8_r0.0_k02,A3,cosine_top_100,5.822035616636276,5.8538120237142675,0.9945716727921459,True
A3_l0.8_r0.0_k04,A3,cosine_top_100,7.630415630340576,7.767434140532423,0.9823598748682207,True
A3_l0.8_r0.0_k08,A3,cosine_top_100,10.087640517950058,10.335939884885065,0.9759770887117764,True
A3_l0.8_r0.0_k16,A3,cosine_top_100,12.102343904972077,12.107750912158044,0.9995534259644755,True
A3_l0.8_r0.5_k02,A3,cosine_top_100,6.534656798839569,6.575032547110283,0.993859232181526,True
A3_l0.8_r0.5_k04,A3,cosine_top_100,8.207543951272964,8.255849023377015,0.9941489879517815,True
A3_l0.8_r0.5_k08,A3,cosine_top_100,11.028399319946766,11.062174128445701,0.9969468200277118,True
A3_l0.8_r0.5_k16,A3,cosine_top_100,14.270803844928743,14.492538504241939,0.9847000814075261,True
A3_l0.8_r1.0_k02,A3,cosine_top_100,6.644364720582962,6.655222571404143,0.9983685217579598,True
A3_l0.8_r1.0_k04,A3,cosine_top_100,8.229090762138366,8.273352909088134,0.9946500351869256,True
A3_l0.8_r1.0_k08,A3,cosine_top_100,10.933638127148152,11.046129000463404,0.9898162629360445,True
A3_l0.8_r1.0_k16,A3,cosine_top_100,14.069230554997922,14.090034409505362,0.9985235057699074,True
A3_l0.9_r0.0_k02,A3,cosine_top_100,6.022035616636276,6.053812023714268,0.9947510086283625,True
A3_l0.9_r0.0_k04,A3,cosine_top_100,8.030415630340576,8.167434140532423,0.9832237998085754,True
A3_l0.9_r0.0_k08,A3,cosine_top_100,10.887640517950057,11.135939884885063,0.9777028818849834,True
A3_l0.9_r0.0_k16,A3,cosine_top_100,13.202343904972077,13.207750912158044,0.9995906186282639,True
A3_l0.9_r0.5_k02,A3,cosine_top_100,6.734656798839569,6.775032547110283,0.994040508589448,True
A3_l0.9_r0.5_k04,A3,cosine_top_100,8.607543951272964,8.655849023377016,0.9944193721524494,True
A3_l0.9_r0.5_k08,A3,cosine_top_100,11.828399319946765,11.8621741284457,0.9971527303398842,True
A3_l0.9_r0.5_k16,A3,cosine_top_100,15.470803844928742,15.717556023513135,0.984300855793658,True
