configuration_id,arm,step,candidate_id,source_turn,additive_chars,cumulative_chars,scaled_gain,facts_available,domains_available
A3_l0.0_r0.0_k02,A3,9,1ec94493-58ad-4f1a-96e5-caac118e854f,78,4170,24485,0.30433398485183716,4,2
A3_l0.0_r0.0_k02,A3,10,70351c1e-c8bb-4a20-8925-559b39e0e936,110,4472,28957,0.30035704374313354,7,3
A3_l0.0_r0.0_k02,A3,11,598a93b5-f9ba-49b9-abf1-9df4704204fd,27,3000,31957,0.2848796844482422,7,3
A3_l0.0_r0.0_k04,A3,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.5341364145278931,0,0
A3_l0.0_r0.0_k04,A3,2,e4286c8d-3430-43d1-9a53-15c87df89493,1,897,1716,0.4941784143447876,0,0
A3_l0.0_r0.0_k04,A3,3,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,2080,0.49203765392303467,0,0
A3_l0.0_r0.0_k04,A3,4,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,6297,0.40216222405433655,0,0
A3_l0.0_r0.0_k04,A3,5,35725a87-15ce-4373-8456-214188818afb,3,593,6890,0.3767109513282776,3,1
A3_l0.0_r0.0_k04,A3,6,c134f401-afa1-43d1-9e80-6d5212904c99,54,4425,11315,0.36564165353775024,3,1
A3_l0.0_r0.0_k04,A3,7,48b41502-2e76-4bfd-9d96-be8af9312a55,84,5473,16788,0.3507111072540283,4,2
A3_l0.0_r0.0_k04,A3,8,cdf91933-b446-4536-a8e2-abc867cd0704,45,3527,20315,0.3168864846229553,4,2
A3_l0.0_r0.0_k04,A3,9,1ec94493-58ad-4f1a-96e5-caac118e854f,78,4170,24485,0.30433398485183716,4,2
A3_l0.0_r0.0_k04,A3,10,70351c1e-c8bb-4a20-8925-559b39e0e936,110,4472,28957,0.30035704374313354,7,3
A3_l0.0_r0.0_k04,A3,11,598a93b5-f9ba-49b9-abf1-9df4704204fd,27,3000,31957,0.2848796844482422,7,3
A3_l0.0_r0.0_k08,A3,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.5341364145278931,0,0
A3_l0.0_r0.0_k08,A3,2,e4286c8d-3430-43d1-9a53-15c87df89493,1,897,1716,0.4941784143447876,0,0
A3_l0.0_r0.0_k08,A3,3,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,2080,0.49203765392303467,0,0
A3_l0.0_r0.0_k08,A3,4,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,6297,0.40216222405433655,0,0
A3_l0.0_r0.0_k08,A3,5,35725a87-15ce-4373-8456-214188818afb,3,593,6890,0.3767109513282776,3,1
A3_l0.0_r0.0_k08,A3,6,c134f401-afa1-43d1-9e80-6d5212904c99,54,4425,11315,0.36564165353775024,3,1
A3_l0.0_r0.0_k08,A3,7,48b41502-2e76-4bfd-9d96-be8af9312a55,84,5473,16788,0.3507111072540283,4,2
A3_l0.0_r0.0_k08,A3,8,cdf91933-b446-4536-a8e2-abc867cd0704,45,3527,20315,0.3168864846229553,4,2
A3_l0.0_r0.0_k08,A3,9,1ec94493-58ad-4f1a-96e5-caac118e854f,78,4170,24485,0.30433398485183716,4,2
A3_l0.0_r0.0_k08,A3,10,70351c1e-c8bb-4a20-8925-559b39e0e936,110,4472,28957,0.30035704374313354,7,3
A3_l0.0_r0.0_k08,A3,11,598a93b5-f9ba-49b9-abf1-9df4704204fd,27,3000,31957,0.2848796844482422,7,3
A3_l0.0_r0.0_k16,A3,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.5341364145278931,0,0
A3_l0.0_r0.0_k16,A3,2,e4286c8d-3430-43d1-9a53-15c87df89493,1,897,1716,0.4941784143447876,0,0
A3_l0.0_r0.0_k16,A3,3,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,2080,0.49203765392303467,0,0
A3_l0.0_r0.0_k16,A3,4,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,6297,0.40216222405433655,0,0
A3_l0.0_r0.0_k16,A3,5,35725a87-15ce-4373-8456-214188818afb,3,593,6890,0.3767109513282776,3,1
A3_l0.0_r0.0_k16,A3,6,c134f401-afa1-43d1-9e80-6d5212904c99,54,4425,11315,0.36564165353775024,3,1
A3_l0.0_r0.0_k16,A3,7,48b41502-2e76-4bfd-9d96-be8af9312a55,84,5473,16788,0.3507111072540283,4,2
A3_l0.0_r0.0_k16,A3,8,cdf91933-b446-4536-a8e2-abc867cd0704,45,3527,20315,0.3168864846229553,4,2
A3_l0.0_r0.0_k16,A3,9,1ec94493-58ad-4f1a-96e5-caac118e854f,78,4170,24485,0.30433398485183716,4,2
A3_l0.0_r0.0_k16,A3,10,70351c1e-c8bb-4a20-8925-559b39e0e936,110,4472,28957,0.30035704374313354,7,3
A3_l0.0_r0.0_k16,A3,11,598a93b5-f9ba-49b9-abf1-9df4704204fd,27,3000,31957,0.2848796844482422,7,3
A3_l0.0_r0.5_k02,A3,1,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,415,0.02578978058518721,0,0
