configuration_id,arm,pool,lambda,r,k,q11_fact_count,q11_domain_count,civil,art,monetary,marine,serialized_chars,selected_episode_count,facts_per_10k_chars,prior_answer_fraction,oracle_overlap,optimality_ratio,targeted_preserved,targeted_required,primary_gate,no_regression_gate,surrogate_gate
A1_l0.3,A1,deployed_n_union_k,0.3,,,6,3,4,0,1,1,31957,10,1.878,0.2,1,,,16,False,False,False
A1_l0.4,A1,deployed_n_union_k,0.4,,,10,3,5,0,1,4,31844,10,3.14,0.2,1,,,16,True,False,False
A1_l0.5,A1,deployed_n_union_k,0.5,,,4,3,2,0,1,1,31809,9,1.258,0.111,0,,,16,False,False,False
A1_l0.6,A1,deployed_n_union_k,0.6,,,5,2,4,0,1,0,31802,12,1.572,0.083,1,,,16,False,False,False
A1_l0.7,A1,deployed_n_union_k,0.7,,,5,2,4,0,1,0,31757,12,1.574,0.083,1,,,16,False,False,False
A1_l0.8,A1,deployed_n_union_k,0.8,,,5,2,4,0,1,0,31757,12,1.574,0.083,1,,,16,False,False,False
A1_l0.9,A1,deployed_n_union_k,0.9,,,5,2,4,0,1,0,31757,12,1.574,0.083,1,,,16,False,False,False
A1_l1.0,A1,deployed_n_union_k,1.0,,,5,2,4,0,1,0,31250,12,1.6,0.083,1,,,16,False,False,False
A2_r0.0,A2,deployed_n_union_k,,0.0,,9,3,4,0,4,1,31704,9,2.839,0.111,1,0.9879,,16,True,False,False
A2_r0.5,A2,deployed_n_union_k,,0.5,,9,3,4,0,4,1,31362,12,2.87,0.167,2,0.9936,,16,True,False,False
A2_r1.0,A2,deployed_n_union_k,,1.0,,9,3,4,0,4,1,31577,13,2.85,0.154,2,0.9962,,16,True,False,False
A3_l0.0_r0.0_k02,A3,deployed_n_union_k,0.0,0.0,2,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.0_r0.0_k04,A3,deployed_n_union_k,0.0,0.0,4,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.0_r0.0_k08,A3,deployed_n_union_k,0.0,0.0,8,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.0_r0.0_k16,A3,deployed_n_union_k,0.0,0.0,16,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.0_r0.5_k02,A3,deployed_n_union_k,0.0,0.5,2,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.0_r0.5_k04,A3,deployed_n_union_k,0.0,0.5,4,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.0_r0.5_k08,A3,deployed_n_union_k,0.0,0.5,8,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.0_r0.5_k16,A3,deployed_n_union_k,0.0,0.5,16,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.0_r1.0_k02,A3,deployed_n_union_k,0.0,1.0,2,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.0_r1.0_k04,A3,deployed_n_union_k,0.0,1.0,4,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.0_r1.0_k08,A3,deployed_n_union_k,0.0,1.0,8,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.0_r1.0_k16,A3,deployed_n_union_k,0.0,1.0,16,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9901,,16,False,False,False
A3_l0.1_r0.0_k02,A3,deployed_n_union_k,0.1,0.0,2,5,2,4,0,1,0,31083,12,1.609,0.083,1,0.9883,,16,False,False,False
A3_l0.1_r0.0_k04,A3,deployed_n_union_k,0.1,0.0,4,5,2,4,0,1,0,31131,12,1.606,0.083,1,0.9894,,16,False,False,False
A3_l0.1_r0.0_k08,A3,deployed_n_union_k,0.1,0.0,8,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9913,,16,False,False,False
A3_l0.1_r0.0_k16,A3,deployed_n_union_k,0.1,0.0,16,5,2,4,0,1,0,31250,12,1.6,0.083,1,0.9879,,16,False,False,False
A3_l0.1_r0.5_k02,A3,deployed_n_union_k,0.1,0.5,2,5,2,4,0,1,0,31083,12,1.609,0.083,1,0.9883,,16,False,False,False
A3_l0.1_r0.5_k04,A3,deployed_n_union_k,0.1,0.5,4,5,2,4,0,1,0,31131,12,1.606,0.083,1,0.9894,,16,False,False,False
