turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
77,0,5,2,3,3,"[{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""}]"
78,0,5,0,5,5,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""},{""episode_id"":""6bd4d1a3-37dc-4d9b-95f8-03d9450c7db0"",""provenance"":""ltm""}]"
79,1,5,0,6,5,"[{""episode_id"":""5b2d80df-4ece-47db-89d4-a8e912a11137"",""provenance"":""stm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""6bd4d1a3-37dc-4d9b-95f8-03d9450c7db0"",""provenance"":""ltm""},{""episode_id"":""58b87a06-1d65-482e-82ca-e441f597d2f5"",""provenance"":""ltm""},{""episode_id"":""6645db69-528d-4833-b9d3-4e894c4bf4ca"",""provenance"":""ltm""}]"
80,0,5,1,4,4,"[{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""1d5ce599-cb2b-4fc9-99df-23b15269b399"",""provenance"":""ltm""},{""episode_id"":""774c7738-c3d7-4a39-96ad-7e35bebe36f5"",""provenance"":""ltm""}]"
81,0,5,1,4,4,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""6f398470-dc79-4a0f-9762-c1f047148dd6"",""provenance"":""ltm""}]"
82,0,5,1,4,4,"[{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""58b87a06-1d65-482e-82ca-e441f597d2f5"",""provenance"":""ltm""},{""episode_id"":""d30a1528-6343-4f70-aac9-7c9e51f5f9c3"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
83,0,5,1,4,4,"[{""episode_id"":""6bd4d1a3-37dc-4d9b-95f8-03d9450c7db0"",""provenance"":""ltm""},{""episode_id"":""58b87a06-1d65-482e-82ca-e441f597d2f5"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""}]"
84,0,5,0,5,5,"[{""episode_id"":""6bd4d1a3-37dc-4d9b-95f8-03d9450c7db0"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""58b87a06-1d65-482e-82ca-e441f597d2f5"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""6645db69-528d-4833-b9d3-4e894c4bf4ca"",""provenance"":""ltm""}]"
85,0,5,0,5,5,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""8b10925d-f9e4-494c-b2f0-ea16f5ad80f9"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""774c7738-c3d7-4a39-96ad-7e35bebe36f5"",""provenance"":""ltm""}]"
86,0,5,0,5,5,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""6bd4d1a3-37dc-4d9b-95f8-03d9450c7db0"",""provenance"":""ltm""},{""episode_id"":""6f398470-dc79-4a0f-9762-c1f047148dd6"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""}]"
