turn,episode_id,episode_turn,topic,novelty,repetition,association,global_association,emotional,weighted_score,promoted,trigger_type,triggered_filter
111,ac56a61d-c420-4287-8443-a9542ba5ce1e,99,topic_5,0.6858466267585754,0.2,0.2995036244392395,0.31415337324142456,0.01,0.36144704425334934,False,,
111,21fe79ae-249f-4f69-a3ba-63d2575f1a7d,100,topic_5,0.7440756559371948,0.2,0.26205572485923767,0.2559243440628052,0.05,0.3803376245498657,False,,
111,e009daae-7688-4fad-97c4-e0af5362d4e5,101,topic_5,0.691132664680481,0.6,0.2993237376213074,0.30886733531951904,0.1,0.4967611801624298,False,,
111,27522b47-c992-4b42-ae71-9f5fd7df411a,102,topic_5,0.7051497995853424,0.4,0.2837574779987335,0.2948502004146576,0.1,0.4385539254546166,False,,
111,fe3db42f-f22b-422e-9b19-e188f4ef89d6,103,topic_5,0.8672893196344376,0.2,0.14220358431339264,0.13271068036556244,0.0,0.3919919787347316,False,,
111,9027a405-f973-44d2-81ff-6f16988e0699,104,topic_5,0.6567743122577667,0.2,0.3168664276599884,0.3432256877422333,0.0,0.35324429482221603,False,,
111,d761e8b1-ff08-4a95-8022-5f252d516588,105,topic_5,0.8346899151802063,0.2,0.1682518720626831,0.1653100848197937,0.1,0.4007918447256088,False,,
111,68a9aeb7-6c23-496c-9d17-c37c4a1d8f01,106,topic_5,0.7438977956771851,0.2,0.2570592761039734,0.25610220432281494,0.0,0.3717760837078094,False,,
111,03e8d26e-c901-46a2-8443-b1bcf45c12d1,107,topic_5,0.8004161864519119,0.2,0.2193067967891693,0.19958381354808807,0.1,0.399007024616003,False,,
111,859a73f5-92ba-4395-be50-8cc16d4d415e,108,topic_5,0.7530562877655029,0.2,0.24699482321739197,0.24694371223449707,0.1,0.3879686653614044,False,,
111,aa6cdbd0-3fe0-44f4-a182-3c88e556567a,109,topic_5,0.9167690798640251,0.2,0.09284590184688568,0.08323092013597488,0.15,0.42193835832178594,True,all_or_nothing,novelty
111,40810bd6-f6d5-47f7-98f6-0a87da4aa131,110,topic_5,0.8010048121213913,0.2,0.21080820262432098,0.1989951878786087,0.0,0.3825133247673511,False,,
111,6d91f9fe-6076-4698-b5a2-248fef9a6414,111,topic_5,0.7288264334201813,0.0,0.26760134100914,0.2711735665798187,0.1,0.3236095198988914,False,,
